"project","num_forks","num_files","project_age","num_stars","ratio_old_volunteers","fork_entropy","num_integrated_commits","num_forks_rq2","num_files_rq2","ratio_old_volunteers_rq2","ratio_prs_with_tests","ratio_prs_with_hot_files","fork_entropy_rq2","num_closed_prs","ratio_merged_prs","num_bug_report_issues"
"AFNetworking/AFNetworking",30,74,1218,13909,0.0277777777777778,0.719593205908581,6,7,38,0.142857142857143,0.142857142857143,1,0.726196656804681,7,0,5
"AFNetworking/AFNetworking",22,28,1249,14312,0,0.674135123053145,11,13,79,0,0.333333333333333,0.6,0.589691086795199,15,0,5
"AFNetworking/AFNetworking",15,36,1279,14700,0,0.677680487485173,3,6,14,0.166666666666667,0.166666666666667,0.833333333333333,0.641184694392021,6,0,3
"AFNetworking/AFNetworking",25,70,1310,15092,0,0.60335754001027,7,10,18,0,0.2,0.9,0.616822749703692,10,0,6
"AFNetworking/AFNetworking",27,78,1341,15625,0,0.703712376249317,0,4,11,0,0,1,0.746391925349972,4,0,2
"AFNetworking/AFNetworking",31,144,1369,15966,0,0.63676643292562,7,12,28,0,0.307692307692308,0.846153846153846,0.66638221521432,13,0,2
"AFNetworking/AFNetworking",36,100,1400,16564,0.0113636363636364,0.660096946200462,6,15,66,0,0.444444444444444,0.722222222222222,0.486050032271788,17,0,5
"AFNetworking/AFNetworking",25,95,1430,17238,0,0.644382923056621,7,9,73,0,0.272727272727273,1,0.641964979960373,8,0,5
"AFNetworking/AFNetworking",24,106,1461,17848,0,0.460286540784991,7,7,20,0,0.142857142857143,0.857142857142857,0.686312312839736,7,0,8
"AFNetworking/AFNetworking",20,31,1491,18457,0,0.680578192168051,4,6,9,0,0.285714285714286,1,0.766755484147128,7,0.285714285714286,4
"AFNetworking/AFNetworking",29,188,1522,19013,0,0.509775892000493,7,10,135,0,0.5,1,0.473566176428666,9,0.111111111111111,13
"AFNetworking/AFNetworking",33,127,1553,19650,0,0.5012269381714,0,13,58,0,0.142857142857143,1,0.650356751251496,13,0,11
"AFNetworking/AFNetworking",38,112,1583,20277,0,0.514561383855441,6,13,38,0,0.142857142857143,0.857142857142857,0.630264122537187,13,0,14
"AFNetworking/AFNetworking",30,63,1614,20983,0.128571428571429,0.670503946315079,15,10,21,0.285714285714286,0.214285714285714,1,0.766278924266837,14,0.0714285714285714,5
"AFNetworking/AFNetworking",23,206,1644,21619,0.239130434782609,0.453560347926016,17,12,20,0.214285714285714,0.214285714285714,1,0.637214191241126,14,0.0714285714285714,8
"AFNetworking/AFNetworking",25,273,1675,22458,0,0.549534699026255,7,11,110,0,0.25,0.916666666666667,0.466982161019252,10,0,4
"AFNetworking/AFNetworking",23,149,1706,23171,0,0.528576833072182,7,11,13,0,0.0909090909090909,0.909090909090909,0.548332721275595,9,0,0
"AFNetworking/AFNetworking",25,282,1735,23687,0,0.66217541718718,5,10,103,0,0.4,0.9,0.723557037133789,9,0,7
"AFNetworking/AFNetworking",29,163,1766,24534,0.5,0.554172068979889,8,10,67,0.25,0.416666666666667,0.916666666666667,0.641149674705651,8,0,6
"AFNetworking/AFNetworking",31,174,1796,25227,0,0.509419443942645,6,10,26,0,0.3,0.9,0.60666013926948,8,0.25,5
"AFNetworking/AFNetworking",21,133,1827,25959,0,0.607811020538172,2,4,5,0,0,1,0.60396692867754,4,0.5,10
"AFNetworking/AFNetworking",13,93,1857,26555,0,0.81635648527439,2,4,6,0,0.25,0.75,0.726390497340618,3,1,4
"AFNetworking/AFNetworking",17,62,1888,27026,0,0.597785622255458,3,5,89,0,0.6,1,0.694485945737322,3,0.666666666666667,3
"AFNetworking/AFNetworking",16,39,1919,27484,0.5,0.680965926517873,10,5,8,0.333333333333333,0.333333333333333,1,0.675844505541981,6,0.333333333333333,2
"AFNetworking/AFNetworking",15,142,1949,27878,0,0.750185569644948,15,5,63,0,0.625,0.625,0.792941428748047,6,0.666666666666667,4
"AFNetworking/AFNetworking",19,78,1980,28227,0,0.51508822980662,0,3,4,0,0,0.666666666666667,0.666666273425821,0,NA,6
"AFNetworking/AFNetworking",10,136,2010,28618,0,0.271851914483514,0,3,4,0,0,1,0.651649445999074,1,0,6
"AFNetworking/AFNetworking",14,52,2072,29217,0.05,0.565712262299054,0,2,6,0,0,0.5,0.465258274388599,0,NA,1
"AFNetworking/AFNetworking",10,126,2100,29520,0,0.433456561400891,0,4,3,0,0,1,0.627243245894223,1,0,8
"AFNetworking/AFNetworking",18,39,2131,29905,0,0.513523824854804,2,9,23,0,0.416666666666667,0.25,0.687312532464221,10,0.1,3
"AFNetworking/AFNetworking",16,38,2161,30320,0,0.687282521084881,1,5,4,0,0.2,0.6,0.708343024202811,2,0.5,4
"AFNetworking/AFNetworking",12,27,2192,30571,0,0.700973408579776,1,2,2,0,0,0.5,0.458957500688051,1,1,3
"AFNetworking/AFNetworking",19,33,2222,30831,0,0.820877296615695,12,4,12,0,0.5,0.75,0.736976307116937,3,0.666666666666667,1
"AFNetworking/AFNetworking",17,77,2253,31105,0,0.763413580398659,0,4,4,0,0,0.75,0.739630641861609,0,NA,3
"AFNetworking/AFNetworking",15,83,2284,31351,0.0555555555555556,0.624185464025891,2,5,9,0,0.142857142857143,0.142857142857143,0.780267634997256,5,0.4,3
"AFNetworking/AFNetworking",5,15,2314,31599,0,0.727201195868343,4,2,3,0,0.5,0,0.49936368309933,2,1,2
"AFNetworking/AFNetworking",12,34,2345,31775,0,0.825099331801425,1,2,2,0,0,1,0.484901308288841,1,0,1
"AFNetworking/AFNetworking",10,18,2406,32183,0,0.698417135294816,3,3,8,0,0.333333333333333,0.666666666666667,0.628048684622448,3,0.666666666666667,2
"AFNetworking/AFNetworking",11,19,2437,32395,0,0.732796869523686,2,4,4,0,0,0.5,0.616420059368922,4,0,1
"AFNetworking/AFNetworking",15,39,2465,32529,0,0.602088159067301,0,4,8,0,0.5,0.75,0.636385940649954,3,0,6
"AFNetworking/AFNetworking",8,11,2557,33131,0,0.690783808928347,9,2,5,0,0.5,1,0.5,1,1,4
"AFNetworking/AFNetworking",12,88,2587,33293,0,0.711987020572936,11,5,68,0,0.333333333333333,0.333333333333333,0.782512392297564,4,1,1
"AFNetworking/AFNetworking",10,16,2649,33607,0,0.747855001874023,6,4,4,0,0,1,0.711707966015428,4,0.25,1
"AFNetworking/AFNetworking",2,9,2740,34051,0,0.499999998392688,1,2,20,0,0.5,1,0.499999999995994,1,1,3
"angular/angular.js",4,51,267,4542,0.363636363636364,0.749368460448877,0,4,79,0.230769230769231,0.807692307692308,0.346153846153846,0.749876137644758,26,0.346153846153846,3
"angular/angular.js",5,33,298,4904,0.384615384615385,0.799810909759128,0,5,56,0.526315789473684,0.789473684210526,0.947368421052632,0.799657176489254,19,0.105263157894737,16
"angular/angular.js",3,61,328,5258,1,0.666663992696535,2,3,48,1,1,1,0.666666666640271,9,0.111111111111111,3
"angular/angular.js",3,47,359,5567,0.9375,0.666658656960525,1,3,119,0.944444444444444,0.833333333333333,0.888888888888889,0.666666666650911,18,0.166666666666667,8
"angular/angular.js",5,57,390,5952,0.814814814814815,0.735956687154023,0,5,87,0.842105263157895,0.684210526315789,0.842105263157895,0.772638620961628,19,0.210526315789474,6
"angular/angular.js",5,74,418,6315,0.888888888888889,0.718537730105728,0,5,42,0.7,0.8,0.9,0.624833021790411,10,0.3,2
"angular/angular.js",5,40,449,6826,0.714285714285714,0.503445994680774,0,5,62,0.2,0.4,1,0.446597454220003,5,0.2,3
"angular/angular.js",3,71,479,7250,0.533333333333333,0.666666666666664,0,2,92,0,1,1,0.5,4,0.25,6
"angular/angular.js",2,10,510,7643,0,0.499999953931996,0,4,62,0.0769230769230769,0.538461538461538,0.769230769230769,0.747285342848261,13,0.538461538461538,8
"angular/angular.js",3,33,540,8124,0,0.646989953685378,0,4,55,0.625,0.625,1,0.720789926751654,8,0.125,4
"angular/angular.js",4,11,571,8546,0,0.749967926590619,1,4,58,0.615384615384615,0.615384615384615,0.923076923076923,0.749706811986382,13,0.307692307692308,0
"angular/angular.js",4,260,602,8939,0,0.649220094771895,3,4,259,0,0.571428571428571,0.857142857142857,0.684401990085121,7,0,0
"angular/angular.js",4,198,632,9399,0,0.623892318603522,1,5,196,0,0.714285714285714,1,0.596271678165102,7,0,0
"angular/angular.js",5,51,663,9811,0.0714285714285714,0.609414456834985,1,6,17,0.0833333333333333,0.833333333333333,1,0.801923926735492,12,0,1
"angular/angular.js",4,6,724,10654,0,0.590997968077428,3,3,4,0,0.333333333333333,1,0.643169925566877,3,0,3
"angular/angular.js",4,6,755,11162,0,0.709809710774983,2,3,39,0,0.333333333333333,1,0.540251012777662,3,0,2
"angular/angular.js",9,123,784,11668,0,0.619220412359509,6,3,81,0,0.4,0.8,0.484276709267051,5,0,8
"angular/angular.js",7,11,815,12221,0,0.753901387215515,4,3,5,0,0.2,0,0.636592158515689,5,0,14
"angular/angular.js",7,13,845,13030,0,0.840544551220239,2,7,233,0,0.9,1,0.70334197676444,10,0,9
"angular/angular.js",15,149,876,13957,0,0.574501530652757,0,7,139,0,0.428571428571429,1,0.574006683637223,7,0,20
"angular/angular.js",17,149,906,15394,0,0.442650708009676,3,13,40,0,0.375,1,0.592845747352772,16,0,11
"angular/angular.js",30,74,937,16572,0,0.574379276325615,13,21,149,0,0.333333333333333,1,0.338902697299957,21,0.0476190476190476,19
"angular/angular.js",26,33,968,17573,0,0.743807594938141,23,16,165,0,0.470588235294118,0.823529411764706,0.445242894492359,17,0.0588235294117647,6
"angular/angular.js",28,63,998,18268,0,0.693959553399138,22,16,146,0,0.285714285714286,0.952380952380952,0.360491486413208,21,0,13
"angular/angular.js",30,165,1029,18891,0,0.547389344461306,22,23,150,0,0.6,0.833333333333333,0.53047781804643,30,0,17
"angular/angular.js",39,113,1059,19382,0,0.498245097861894,17,23,52,0,0.461538461538462,0.884615384615385,0.683729783974158,26,0,14
"angular/angular.js",53,112,1090,20354,0,0.49142310871498,17,33,110,0,0.441860465116279,0.930232558139535,0.497409209028347,43,0,23
"angular/angular.js",38,292,1121,20841,0,0.625572115063365,9,25,448,0,0.586206896551724,1,0.477307916673423,29,0,16
"angular/angular.js",56,269,1149,21257,0,0.397967373262716,27,33,279,0,0.5,0.9,0.416049490378171,40,0.05,19
"angular/angular.js",90,1082,1180,21681,0,0.252032080460375,43,61,1172,0,0.44,0.96,0.17635741711321,74,0,30
"angular/angular.js",84,720,1210,21991,0,0.308920056066113,35,55,517,0,0.303030303030303,0.954545454545455,0.228311390142219,65,0.0307692307692308,24
"angular/angular.js",70,220,1241,22265,0,0.428998398701478,15,51,360,0,0.292307692307692,0.876923076923077,0.255030923074956,65,0.0153846153846154,18
"angular/angular.js",80,393,1271,22552,0,0.344732387325734,22,49,131,0.0338983050847458,0.423728813559322,0.966101694915254,0.455708559839019,59,0,27
"angular/angular.js",105,531,1302,22849,0,0.246701869834334,32,76,473,0,0.447916666666667,0.9375,0.220625718239732,95,0.0210526315789474,48
"angular/angular.js",93,323,1333,23103,0.0225225225225225,0.2782235572524,18,76,95,0.0275229357798165,0.293577981651376,0.908256880733945,0.390805397691263,109,0,64
"angular/angular.js",125,577,1363,23357,0.00900900900900901,0.22847869186804,11,108,476,0.00735294117647059,0.220588235294118,0.904411764705882,0.135988338868732,135,0.00740740740740741,74
"angular/angular.js",127,851,1394,23590,0.00448430493273543,0.211312562864727,16,91,288,0.00970873786407767,0.300970873786408,0.961165048543689,0.193180040201767,103,0,92
"angular/angular.js",98,213,1424,23795,0.0677966101694915,0.344660193953103,24,73,75,0.0459770114942529,0.218390804597701,0.96551724137931,0.364425049539919,83,0,71
"angular/angular.js",125,303,1455,23952,0,0.274585792782716,44,93,135,0,0.302521008403361,0.966386554621849,0.305361716671619,116,0.0172413793103448,70
"angular/angular.js",104,569,1486,24119,0,0.23317031075681,25,82,106,0,0.336842105263158,0.947368421052632,0.420131360074901,87,0,67
"angular/angular.js",122,1276,1514,24289,0,0.230713741180926,39,94,536,0,0.230769230769231,0.948717948717949,0.212152850800185,113,0,90
"angular/angular.js",102,307,1545,24408,0,0.271580981144363,38,81,202,0,0.326530612244898,0.969387755102041,0.257259899007575,92,0,63
"angular/angular.js",90,96,1575,24885,0,0.346916905984538,15,82,201,0,0.22680412371134,0.979381443298969,0.276420031326958,94,0,42
"angular/angular.js",97,313,1606,25484,0,0.247313338665146,28,82,141,0,0.329787234042553,0.978723404255319,0.351688246647032,89,0,59
"angular/angular.js",78,357,1636,26618,0,0.289889016287329,16,55,97,0,0.389830508474576,0.949152542372881,0.440553519560478,57,0,70
"angular/angular.js",84,189,1667,27787,0,0.348765207272806,27,68,513,0,0.228915662650602,0.927710843373494,0.19235618923077,78,0,67
"angular/angular.js",71,376,1698,29080,0,0.189795894419161,11,65,442,0,0.191780821917808,0.986301369863014,0.179554554320264,72,0.0138888888888889,70
"angular/angular.js",97,726,1728,30100,0,0.292408932670506,62,81,589,0,0.385416666666667,1,0.232656028229972,92,0,81
"angular/angular.js",81,600,1759,31546,0,0.229101530211777,26,69,95,0,0.272727272727273,0.954545454545455,0.424247645592974,85,0,81
"angular/angular.js",83,157,1789,32791,0,0.331308242726052,27,62,73,0,0.302631578947368,0.947368421052632,0.438966157144357,74,0,51
"angular/angular.js",69,427,1820,34223,0,0.249268894851428,14,45,139,0,0.294117647058824,0.901960784313726,0.373619975980302,51,0,39
"angular/angular.js",62,694,1851,35546,0,0.226710270262749,5,43,106,0,0.276595744680851,0.936170212765957,0.333286082717865,46,0,52
"angular/angular.js",53,344,1879,36630,0,0.18000455367719,8,34,40,0,0.256410256410256,0.897435897435897,0.466840521602339,33,0,49
"angular/angular.js",57,152,1910,37919,0,0.194941155194317,7,44,53,0,0.260869565217391,0.891304347826087,0.35729575080994,46,0,61
"angular/angular.js",52,58,1940,39211,0,0.408050045608502,6,38,421,0,0.184210526315789,0.947368421052632,0.127128143933976,36,0,39
"angular/angular.js",63,438,1971,40420,0,0.249767327627666,18,36,48,0,0.289473684210526,0.894736842105263,0.490500209415897,38,0,47
"angular/angular.js",46,655,2001,41372,0,0.18393410724682,13,26,97,0,0.314285714285714,0.857142857142857,0.351746854919621,35,0,33
"angular/angular.js",62,340,2032,41388,0,0.187589177010619,10,39,50,0,0.219512195121951,0.926829268292683,0.447285096340849,37,0,34
"angular/angular.js",54,314,2063,41413,0,0.209435458233005,11,39,41,0,0.19047619047619,0.833333333333333,0.486332588133161,40,0,36
"angular/angular.js",47,335,2093,41433,0,0.308763407929226,9,39,57,0,0.214285714285714,0.904761904761905,0.412586492647504,40,0,29
"angular/angular.js",37,57,2124,41453,0,0.554057305714374,14,25,378,0,0.185185185185185,0.851851851851852,0.2733954375332,25,0,33
"angular/angular.js",42,70,2154,41468,0,0.438025060973246,17,34,64,0,0.333333333333333,0.857142857142857,0.404572184958152,38,0,33
"angular/angular.js",30,327,2185,41489,0,0.382408095550672,9,18,34,0,0.19047619047619,0.761904761904762,0.616356002633022,21,0,29
"angular/angular.js",56,612,2216,41509,0,0.294434648702484,25,41,364,0,0.340425531914894,0.893617021276596,0.292681171749197,45,0,45
"angular/angular.js",50,417,2245,41525,0,0.348807884150401,11,28,567,0,0.354838709677419,0.935483870967742,0.358114482104289,30,0,38
"angular/angular.js",53,253,2276,41547,0,0.266670641716256,13,31,28,0,0.0882352941176471,0.941176470588235,0.40026206366642,33,0.0303030303030303,28
"angular/angular.js",46,353,2306,41560,0,0.313620073546843,16,23,27,0,0.24,1,0.464088620596782,25,0,31
"angular/angular.js",18,253,2337,41712,0,0.433100638801625,16,14,99,0,0.428571428571429,1,0.540121672406336,12,0.0833333333333333,19
"angular/angular.js",12,34,2367,42616,0,0.807438213914486,3,4,12,0,0.5,1,0.72961337561998,4,0,20
"angular/angular.js",34,350,2398,43422,0,0.214693498485805,14,17,226,0,0.222222222222222,0.555555555555556,0.246963389218106,17,0.117647058823529,12
"angular/angular.js",38,442,2429,44310,0,0.26109559426462,15,23,58,0,0.321428571428571,0.857142857142857,0.350374881235713,28,0.214285714285714,11
"angular/angular.js",40,121,2459,45303,0,0.31409722971761,16,17,53,0,0.19047619047619,0.904761904761905,0.421082037699265,21,0.142857142857143,20
"angular/angular.js",23,289,2490,46056,0,0.325934879851786,8,14,13,0,0.0666666666666667,0.866666666666667,0.637082797581649,15,0.133333333333333,13
"angular/angular.js",33,162,2520,46845,0,0.283956771816281,11,15,25,0,0.315789473684211,0.684210526315789,0.606286228728729,17,0,22
"angular/angular.js",26,288,2551,47482,0,0.281171416031571,18,14,27,0,0.5,0.666666666666667,0.604889607788729,18,0.111111111111111,20
"angular/angular.js",28,228,2582,48094,0,0.329240922578796,17,14,97,0,0.291666666666667,0.958333333333333,0.585909747393636,24,0,15
"angular/angular.js",37,133,2610,48721,0,0.458570075289232,21,20,108,0,0.173913043478261,0.869565217391304,0.410082659195725,22,0.136363636363636,18
"angular/angular.js",28,267,2641,49328,0,0.330026193001143,9,15,15,0,0.2,0.933333333333333,0.576630545463395,14,0.285714285714286,9
"angular/angular.js",20,49,2671,49810,0,0.565537435769498,6,14,21,0,0.2,0.666666666666667,0.591714948783975,14,0.0714285714285714,9
"angular/angular.js",22,367,2702,50333,0,0.289089726405497,6,9,15,0,0.555555555555556,1,0.754299791480032,9,0.111111111111111,4
"angular/angular.js",20,66,2732,50872,0,0.571161524610181,8,8,13,0,0.375,0.875,0.785253029731591,8,0.125,4
"angular/angular.js",12,552,2763,51376,0,0.589537593866833,8,5,8,0,0.166666666666667,0.333333333333333,0.668580214686589,6,0,14
"angular/angular.js",16,390,2794,51870,0,0.409605419689793,4,5,4,0,0,0.4,0.600314659893115,5,0.2,8
"angular/angular.js",15,102,2824,52325,0,0.679747905171141,7,6,14,0,0.571428571428571,0.571428571428571,0.789683061393743,6,0.166666666666667,8
"angular/angular.js",17,61,2855,52727,0,0.773903334999537,19,7,10,0,0.571428571428571,0.714285714285714,0.837220460436364,7,0.571428571428571,7
"angular/angular.js",8,39,2885,53102,0,0.585140600799087,4,2,2,0,0,1,0.490842180555633,2,0.5,3
"angular/angular.js",13,113,2916,53399,0,0.425372219892713,1,4,4,0,0,0.4,0.691698884376684,5,0.2,5
"angular/angular.js",12,70,2947,53791,0,0.659836425258443,1,2,2,0,0,0,0.458957500688051,1,0,3
"angular/angular.js",9,70,2975,54110,0,0.68140845834472,4,4,65,0,0.25,0.25,0.494959751321317,4,0.25,3
"angular/angular.js",6,24,3006,54427,0,0.596472302781799,0,3,3,0,0,0,0.631509445684852,3,0,5
"angular/angular.js",12,552,3128,55809,0,0.65585579875799,2,4,10,0,0.25,0.5,0.743776616450942,4,0,5
"angular/angular.js",11,39,3159,56100,0,0.664501805447013,4,5,262,0,0.2,0.2,0.327857923174182,5,0.2,2
"angular/angular.js",12,35,3189,56386,0,0.581470004182161,3,4,4,0,0,0.25,0.67763779374392,4,0,4
"angular/angular.js",11,78,3220,56607,0,0.658136270672741,1,5,6,0,0.2,0.8,0.680719786587643,5,0,3
"angular/angular.js",10,318,3281,57020,0,0.556288468931037,0,3,5,0,0.666666666666667,0.666666666666667,0.661653627722234,2,0,3
"angular/angular.js",11,14,3312,57253,0,0.71115416830336,2,3,4,0,0,0.2,0.666666663282227,5,0,1
"angular/angular.js",14,277,3340,57418,0,0.282703219397714,2,2,47,0,0,0,0.430877195767452,1,0,1
"ansible/ansible",18,69,25,4192,0,0.807979761840852,76,11,43,0,0.183673469387755,0.877551020408163,0.858029121041288,49,0.714285714285714,5
"ansible/ansible",23,63,55,4454,0,0.705073501536645,51,16,62,0,0.340425531914894,0.914893617021277,0.714272852466482,47,0.680851063829787,8
"ansible/ansible",13,42,86,4658,0.113207547169811,0.691657191124355,21,12,38,0.135135135135135,0.162162162162162,0.783783783783784,0.701626279914995,37,0.837837837837838,5
"ansible/ansible",25,51,116,4784,0.0113636363636364,0.798270294048725,45,19,52,0.0192307692307692,0.115384615384615,0.846153846153846,0.800267079217168,52,0.730769230769231,12
"ansible/ansible",27,103,147,4933,0.0841121495327103,0.674778154507753,62,24,106,0.131578947368421,0.144736842105263,0.842105263157895,0.758074865054657,76,0.671052631578947,9
"ansible/ansible",26,98,178,5057,0.472602739726027,0.661926911327217,108,25,117,0.567307692307692,0.144230769230769,0.894230769230769,0.608130554167887,104,0.826923076923077,2
"ansible/ansible",27,220,208,5176,0.657276995305164,0.748291011266417,148,28,175,0.782312925170068,0.0612244897959184,0.687074829931973,0.546003405652401,146,0.794520547945205,9
"ansible/ansible",20,119,239,5277,0.596774193548387,0.757991541820182,122,28,147,0.652173913043478,0.11304347826087,0.817391304347826,0.674044583527893,115,0.782608695652174,7
"ansible/ansible",16,48,269,5362,0.5,0.631826083466818,28,18,67,0.6,0.1,0.9,0.649072478962058,40,0.7,2
"ansible/ansible",38,74,300,5453,0.146341463414634,0.603978903540234,49,35,105,0.218181818181818,0.0909090909090909,0.927272727272727,0.568989425219089,55,0.709090909090909,1
"ansible/ansible",52,273,331,5539,0.145348837209302,0.575424775796753,104,45,155,0.313953488372093,0.0930232558139535,0.813953488372093,0.661946342749491,86,0.674418604651163,4
"ansible/ansible",56,222,359,5605,0.320512820512821,0.516785161842582,89,43,155,0.352941176470588,0.0588235294117647,0.808823529411765,0.629112159544524,68,0.691176470588235,12
"ansible/ansible",52,73,390,5654,0.25,0.617410591654365,63,48,72,0.367088607594937,0.164556962025316,0.772151898734177,0.5877719153025,79,0.620253164556962,17
"ansible/ansible",77,180,420,5693,0.181318681318681,0.521774843185078,124,73,180,0.252173913043478,0.165217391304348,0.591304347826087,0.499033775620945,115,0.721739130434783,11
"ansible/ansible",73,281,451,5726,0.147727272727273,0.513600605994026,140,69,237,0.341880341880342,0.179487179487179,0.760683760683761,0.471759595282222,117,0.786324786324786,19
